,Heading,Article,Date,Subjectivity,Polarity,Content Subjectivity,Content Polarity
3501,dubai property developers upbeat despite falling pri,"DUBAI: Dubai property developers are still turning out some larger-than-life projects even though prices are heading south again after clawing back a good chunk of their losses in the 2008 crash.  The Gulf emirate´s annual Cityscape property fair opened Tuesday with developers foreseeing price declines of about 15 percent this year, yet confident there would be no return to the days when huge projects were abandoned half finished.Scale models of new skyscrapers, sprawling villa compounds and leisure centres, including a new indoor ski slope, were rolled out by several companies.Analysts have signalled a slide in property values, which had recovered significantly in the past two years after shedding half of their value in the 2008 global financial crisis. Dubai had shaken world markets when it signalled that it might default on huge debts incurred after borrowing extensively to build those ambitious projects.Thanks to the robust trade, tourism and transport sectors, the economy has since steadied. ""Residential prices have fallen maybe nine or 10 percent this year,"" said Craig Plumb, Middle East and North Africa research director for Chicago-based investment management company Jones Lang LaSalle.""We expect prices to go down further over the rest of the year,"" saying the decline has ""more to do with what is going on globally. Things like (falling) oil prices and the global nervousness with the Chinese economy slowing.""""The Dubai residential market is very much affected by what´s going on in the rest of the world because a large number of people buying here are investors coming from overseas,"" said Plumb.""There is a negative sentiment largely driven by oil prices... It pushed stock prices down and pushed sentiment against the residential market as well.""The city-state, one of seven that make up the United Arab Emirates, is the largest and one of very few markets in the region that has opened up to foreign free-hold ownership. Plumb said prices are likely to fall for 12 more months, while forecasting the drop for this year at 15 percent. London-based property consultancy Knight Frank has reportedly put the annual drop to June at over 12 percent. Cluttons, another London consultancy, expects villa prices to lose up to seven percent in the second half of the year after dropping five percent in the first six months. Signs of price softening had begun to show as a result of strict regulations introduced by UAE financial authorities to avoid a new bubble, including mortgage caps.  In particular, they put a cap on mortgage financing at 75 percent for a first purchase and 60 percent for a second one. This priced out of the market those who could not make down payments of 25 percent or more. As a result, Plumb said, prices are not expected to nosedive as they did in the crisis.  ""We are seeing a much more stable market and that is a sign of better regulation.""Developers undeterredAgainst that background, Cluttons said more than 40,000 units have been announced this year, with in excess of 20,000 to be delivered by 2017. Ziad Chaar, managing director of Dubai developer DAMAC Properties, said ""with 53 billion dirham ($14 billion) recorded transactions in the first six months... we are sure that this market is a good market.""Chaar cited a growing population and healthy economic expansion, including a rising number of tourists and modern infrastructure, in addition to a stable exchange rate and political stability compared with a wider region in turmoil. ""If we did not know that this market is strong, and that there is a very strong demand, we would not have launched these projects,"" he said, pointing to scale models of various luxurious projects. One of the projects on display at Cityscape is Meydan One, which includes plans for the world´s highest residential tower, at 711 metres (2,333 feet) high. Dubai is already home to the world´s tallest building, Burj al-Khalifa, with stands at 829.8 metres. At foot of Meydan One, a 1.2-kilometre indoor ski slope is set to break Dubai´s own world record, Ski Dubai, which boasts a 400-metre slope.  Dubai´s Nakheel Properties, developer of Palm Jumeirah and the World Islands, announced that it aims to bring 10,000 units on to the market in the Jebel Ali area. Savills, another British real estate consultancy, ranks the UAE as the world second-best country for residential investment, after only the United States. It said Dubai´s market has ""matured"" and that softening prices are expected to pick up again in mid-2016, as the country prepares to host the Expo 2020 trade fair.                        










",2015-09-09,0.0,0.0,0.40614064754689766,0.17413014069264066
3502,withholding tax traders businessmen observing strike today,"LAHORE: Traders and business community is observing countrywide complete shutter down strike, halting business activities today (Wednesday) against the imposition of withholding tax on all types of banking transactions.This would be the second countrywide strike on the same issue. Earlier, the business community succeeded in observing the strike across country, pressurising the Federal Board of Revenue to halve the rate of withholding tax on banking transactions, and extending the date of implementation of the said tax.However, a faction of traders refused the FBR incentive, sticking to their single point agenda of withdrawal of the withholding tax from banking transactions, which has compelled the other groups to join hands with them and show their muscle power to the government.On Tuesday, different factions of the traders in two different press conferences announced the complete shutter down strike for today. They said that after this strike, they will announce their future plans of protests and strikes which would be for an indefinite period.They said that businessmen had never refused to pay taxes, but the government instead of taxing those who were already in the net, should bring new people in to the tax net.They said that this tax had not only made life of the traders miserable, but also destroyed the whole banking sector, as it was now facing a collective loss of Rs878 billion.After the traders and business community, the Lahore Chamber of Commerce and Industry (LCCI) also announced to observe the September 9 strike.                        










",2015-09-09,0.0,0.0,0.3983299380358204,-0.05712800271623801
3503,oil prices up in asian trad,"Singapore: Oil prices edged higher in quiet Asian trade Wednesday as dealers set aside weak Chinese trade data and looked ahead to the release of a US stockpiles report, analysts said.US benchmark West Texas Intermediate for October delivery gained 22 cents to $46.16 while Brent crude for October rose 24 cents to $49.76 in late-morning trade.""We are seeing trading volumes for oil futures down a third than on average. The market seems to have shrugged off the weak Chinese trade data and is now looking beyond that for cues,"" Michael McCarthy, chief market strategist at IG Markets in Sydney, told AFP.""We might see some movement next depending on how the US stockpile numbers turn out,"" he said.China said Tuesday its exports fell 5.5 percent year-on-year in August while imports plunged 13.8 percent, led by falling commodity prices, adding to worries about the strength of the world´s number two economy and top energy consumer.The slowdown Chinese growth, as well as a slew of other weak indicators, have sent panic through world markets, as the country is a key driver of global expansion.In the United States, the Department of Energy will release its weekly petroleum report on Thursday, a day later than usual owing to the Labor Day holiday on Monday.US crude reserves likely rose by 250,000 barrels in the week to September 4, according to a Bloomberg News survey of analysts. An increase in stockpiles usually points towards weaker demand.Dealers had been hoping that an uptick in US demand, coupled with a slowdown in output, could whittle down the huge global supplies that were a key reason for the collapse in prices from around $120 in June last year.                        










",2015-09-09,0.0,0.0,0.4309259259259259,-0.04203703703703703
3504,pm nawaz orders audit of nandipur power proj,"ISLAMABAD: Prime Minister Nawaz Sharif has ordered audit of the Nandipur Power project amid allegations of corruption.Acting upon the prime ministers orders, the Ministry of Water and Power has written a letter to the Auditor General, asking him to conduct the audit with three terms of reference. The terms of reference will address the requirements of the commercial audit of the project which has become nightmare for the government.The Ministry of Water and Power has directed the Auditor General of Pakistan to conduct the audit keeping in view three points: (1) Reason behind the increasing cost of the project (2) Amount that has been spent so far (3) Whether the Board, Administration of the project and the contractor fulfilled their responsibilities.                        










",2015-09-10,0.0,0.0,0.5428571428571429,-0.14999999999999997
3505,asian markets retreat as china fed feed cauti,"Hong Kong: A mixed reading on Chinese inflation Thursday kept Asian equities traders on edge in fresh volatility Thursday as markets retreated from a two-day rally, while fears of a US interest rate hike saw safe assets advance.Early selling spread through regional exchanges, with Hong Kong and Shanghai seeing hefty losses, despite Chinese Premier Li Keqiang the day before seeking to shore up confidence in the government´s handling of an economic crisis that has sent global markets plunging.A late tumble on Wall Street provided extra reason to run after a report showing a tighter US jobs market increased speculation the Federal Reserve will pull the trigger on a rate rise at next week´s policy meeting.Thursday´s losses follow thumping gains across the world over the previous two days -- including a 7.7 percent jump in Tokyo Wednesday -- which were helped by Chinese moves to bolster its economy.However, Nader Naeimi, head of dynamic asset allocation at AMP Capital Investors Ltd. in Sydney, told Bloomberg News: ""Markets will remain volatile until the Fed meeting next week.""Investors are again focusing on the potential US interest rate increase and how it would impact emerging markets.""In Beijing, official figures showed the consumer price index (CPI) rose two percent last month, better than July´s 1.6 percent and beating forecasts of 1.8 percent.However, the producer price index (PPI) -- a crucial measure of costs for goods at the factory gate and a leading indicator of the trend for consumer prices -- slumped at its fastest rate in six years.The figures will do little to ease the struggle authorities have in kickstarting the world´s number two economy and main driver of global growth as it suffers a painful slowdown.""This is a real problem,"" said Zhu Qibing, a Beijing-based analyst at China Minzu Securities Co. ""For a manufacturer, CPI represents its costs because wages rise, and PPI represents the prices of its product. Now profits of enterprises are being further eroded."" (AFP)                        










",2015-09-10,0.0,0.0,0.3419753086419753,0.018981481481481488
3506,pm nawaz underscores need for enhancing expor,"ISLAMABAD: Prime Minister Nawaz Sharif has underscored the need for enhancing exports, saying that Pakistan could not progress without improving its exports.Addressing the meeting of industries and traders representatives here Friday, the Premier said, How can we pay off our debts without increasing our revenue?PM Nawaz assured the business community for redressing its issues, saying that PML-N government wanted to resolve issues of the said community, however, these could not be resolved in a single day and resources are required for it. The Prime Minister regretted that Pakistan lacks behind others countries of the region in exports, adding that The country has not witnessed any growth in its exports over the past few years.He went on to say that they have to make this sitting a fruitful.                        










",2015-09-11,0.0,0.0,0.31607142857142856,-0.23035714285714287
3507,state bank announces monetary policy,"KARACHI: The State Bank of Pakistan on Saturday announced the new monetary policy for the next two months reducing the interest rate further by 50 basis points. The central bank reduced interest rate by 0.5 percent and brought it down to six percent.The State Bank of Pakistan noted year-on-year headline CPI inflation to have decelerated to 1.7 percent in August 2015 from 7.0 percent in August 2014. Following its declining trend of the past several months, the 12-month moving average CPI inflation came down to 3.6 percent in August 2015 from 8.4 percent in August 2014. A press release from the State Bank noted, With better law and order situation, investor and consumer confidence is improving. After recording a growth of 3.3 percent, Large-scale Manufacturing is expected to gain further traction at the back of improvement in energy supplies. Implementation of infrastructure development and energy projects under China Pakistan Economic Corridor would further enhance the improving investment environment. Therefore, there is anticipation of higher economic activity in FY16 which is expected to boost credit uptake. 










",2015-09-12,0.0,0.0,0.30170122275385436,0.01975013290802764
3508,nab files another rental power reference against raja pervez ashraf,"ISLAMABAD: The National Accountability Bureau (NAB) on Friday submitted another reference in the rental power projects (RPP) scam against former prime minister Raja Pervez Ashraf.An accountability court has summoned Ashraf and 11 other suspects on September 18 after the NAB submitted the reference in connection with Samundri Rental Power Project.The bureau has accused all 12 of misuse of power, violation of laws and awarding illegal contracts.Former water and power secretary Shahid Rafi, former secretary Ismail Qureshi, Pepcos former MDs Tahir Basharat and Munawar Basir were also among the suspects.Naudero, Sahiwal, Peeran Ghaib and Karkey rental power cases against the PPP leader are also sub judice.                        










",2015-09-12,0.0,0.0,0.175,-0.125
3509,shahid khaqan says gas from sindh not being directed anywher,"ISLAMABAD: Minister for Petroleum and Natural Resources, Shahid Khaqan Abbasi, said on Monday that the issues that Sindh Finance Minister, Murad Ali Shah, spoke about a day earlier do not befit him.Addressing a press conference in Islamabad today, the petroleum minister said that the gas from Sindh is not going to be directed anywhere, adding that any ambiguities will be cleared.Shahid further said that these issues that Murad Ali Shah spoke of have already been discussed with the Council of Common Interest (CCI) as well as during other occasions.Pakistan People's Party (PPP) Co-Chairman Asif Ali Zardari also raised these issues in a meeting with Prime Minister Nawaz Sharif.The minister went on to say that corruption allegations on import of Liquefied Natural Gas (LNG) is shameful.He added that the LNG policy was made by the PPP government.On Sunday, Sindh Minister for Finance, Murad Ali Shah said the incumbent government and rulers only seem interested in launching high-cost projects, claiming the federal governments policies are proving detrimental for Sindh.Murad Ali Shah further said there is rampant corruption today but the same is invisible to the eyes of investigation authorities. 










",2015-09-14,0.0,0.0,0.48,0.002500000000000005
3510,oil prices mixed in asian trad,"Singapore: Oil prices were mixed in Asia Monday ahead of a US interest rate decision, with weak demand in an oversupplied market keeping a lid on any gains.US benchmark West Texas Intermediate for October delivery was up five cents at $44.68 and Brent crude for October fell 16 cents to $47.98 in late-morning trade.The cost of the black gold tumbled last week after Goldman Sachs slashed its price forecasts for next year in the face of a larger-than-expected glut.Sanjeev Gupta, head of the Asia Pacific oil and gas practice at professional services firm EY said prices will remain volatile on concerns ""over demand growth not being sufficient to absorb excess supply"".Weak demand from China, the world´s top energy consumer, is also weighing on the market, he said, following another round of weak data on the world´s number two economy at the weekend.Gupta said dealers are focusing on the Federal Reserve´s rate meeting that ends Thursday.While expectations are for a rise by the end of the year, the bank´s decision has been made complicated by the recent turmoil across the globe caused by the Chinese economic crisis.Higher US interest rates will boost the US currency, making dollar-priced oil more expensive for holders of other units, hurting demand and prices.""For now, the market appears willing to give in to the Fed´s well telegraphed intention to hike in 2015 but remains doubtful of more hikes thereafter,"" DBS Bank said in a market commentary.""The (dollar) could reassert itself if Fed Chair Janet Yellen turns out to be more optimistic than expected and reinforces her colleagues´ recent message that the Fed will be gradual and cautious in normalising monetary policy.""Oil prices have plunged from peaks of more than $100 a barrel in June 2014 as global supply outpaced demand.                        










",2015-09-14,0.125,0.0,0.4194444444444445,-0.0367283950617284
3511,pia offers 25pc discount on domestic tickets for eidul az,"KARACHI: On the occasion of Eidul Azha, PIA is offering 25 per cent ticket discount on all domestic sectors for travel during September 25, 26 and 27. A statement issued here on Tuesday said that the discount offer was formally announced by PIAs Director Marketing & Customer Services Khurram Mushtaq at the airlines head office today.The passengers can now avail 25 per cent discount on all domestic flights during the first three days of Eid. The discount offer applies to all three classes; Business, Economy and Economy Plus.                        










",2015-09-15,0.05,0.05,0.17777777777777778,0.08333333333333333
3512,oil prices diverg,"London: World crude prices diverged Tuesday as traders eyed weak demand and excess supplies, dealers said.Brent North Sea crude for October dropped eight cents to stand at $46.29 a barrel around late afternoon in London.US benchmark West Texas Intermediate for delivery in October added 86 cents to $44.85 per barrel compared with Monday´s close.Expectations that US crude oil inventories expanded for a third week and news that the OPEC cartel has slashed its demand growth forecast for next year are keeping a lid on any price rally, analysts said.Bloomberg News said it expects US crude stockpiles to have risen by 1.75 million barrels in the week to September 4.The US Energy Information Administration (EIA) will release Wednesday the official stockpiles data, a gauge of demand in the world´s top oil consuming nation.""Prices are unable to make much headway as the market expects US crude stockpiles to expand for the third straight week ahead of the EIA report,"" said Bernard Aw, a Singapore-based strategist at IG Markets.The Organization of the Petroleum Exporting Countries on Monday cut its 2016 forecast for global demand ""due to the projected slower economic momentum in Latin America and China"".The cartel said demand would grow by 1.29 million barrels per day to 94.08 million barrels a day next year, 50,000 barrels less than its previous estimate.Traders are also watching out for the US Federal Reserve meeting this week to see whether policymakers would raise interest rates for the first time since 2006.Analysts say that a hike in the zero-level benchmark rate would likely push the dollar higher, making dollar-priced crude oil more expensive and potentially further damping demand.                        










",2015-09-15,0.0,0.0,0.4876543209876542,-0.15679012345679008
3513,government stresses coal based power generati,"KARACHI: The government believes that coal-based power generation is the best source of energy in the wake of depleting gas reserves.The National Electric Power Regulatory Authority (NEPRA) said efforts must be made to change the energy mix towards cheaper fuels.With the depleting natural gas reserves in the country and relatively longer lead time for the construction of hydroelectric power projects, coal power plants are considered the best option in the short- and medium-term planning, reads a Nepras decision pertaining to the generation licence application of Siddiqsons Energy.NEPRA awarded a generation licence to Siddiqsons Energy Limited for 350-megawatt coal-based thermal facility at Port Qasim with a cost of approximately $600 million.The project is expected to be commissioned by December 31, 2018, while the company is required to provide a certificate on bi-annual basis, confirming that the operation of its generation facility is in line with the environment standards as prescribed by the relevant competent authority.NEPRA said electricity is a fundamental element for the economic growth of any country. The electricity consumption per capita has a strong correlation to the social development and economic indices.Increasing electricity consumption per capita can directly stimulate faster economic growth and indirectly achieve enhanced social development, the authority said.In short, the economic growth of any country is directly linked with the availability of safe, secure, reliable and cheaper supply of electricity.The authority said for sustainable development, all types of electric power generation resources, including coal (imported/indigenous), hydel, wind, solar and others must be tapped and developed on priority basis both in public and private sectors.The existing energy mix of the country is heavily skewed towards the costlier thermal generation facilities operating on furnace oil.The import of expensive furnace oil results in depletion of the precious foreign exchange reserves of the country, affecting the macro and microeconomic stability, read the ruling.An increase in the consumer end tariff results in higher inflation but it also affects the competitiveness of the local industry with its foreign peers.It further said it is vital that indigenous and imported coal projects are given priority for power generation and their development is encouraged to reduce the demand-supply gap and to achieve sustainable development. 










",2015-09-16,0.0,0.0,0.36670168067226894,0.14201680672268907
3514,seven power projects to reach financial close by year end minister,"ISLAMABAD: Seven private coal-based and hydropower projects, having a total electricity generation capacity of 5,155 megawatts, will reach their financial close by yearend, a minister said on Thursday.Minister for Water and Power Khawaja Muhammad Asif, chairing 102nd meeting of the Private Power and Infrastructure Board (PPIB), said the implementation of these projects will start after the financial close.These projects have local and foreign investments. Investors from China, Korea, Qatar and Saudi Arabia have large equity contributions in these projects.The government is making every effort to increase electricity supply to the national grid through all possible avenues, private sector being one of them, Asif said.The said projects include 102MW Gulpur hydropower at Poonch River, Azad Jammu and Kashmir, 720MW Karot hydropower at Jhelum River, district Rawalpindi, 870 MW Suki Kinari hydropower at Kunhar River, Mansehra, Khyber Pakhtunkhwa, 1,320MW Port Qasim coal-based power, 660MW Engro Powergen coal-based power at Thar Block-II, Sindh, 1,320MW Shandong imported coal-based power at Qadirabad, Sahiwal, and 163MW Grange Holdings coal-based power at Arifwala, Punjab. The minister said the presence of international investment groups/companies in the development of private sector power projects shows the confidence of the international community in the governments policies. Various ongoing private power projects were also discussed during the meeting. The board was briefed on coal and hydel based private power generation projects being handled by PPIB, particularly the projects being processed under the China-Pakistan Economic Corridor. The minister and board members expressed their satisfaction on the progress and advised PPIB to ensure the timely completion of the projects. 










",2015-09-18,0.0,0.0,0.3103835978835979,0.02533068783068783
3515,oil up in asia but oversupply weak demand weig,"Singapore: Oil prices rebounded in Asia Monday but analysts said they remain weighed by a crude oversupply and fresh worries about the world economy after the Federal Reserve decided last week against raising interest rates.US benchmark West Texas Intermediate for October, which expires on Tuesday, rose 15 cents to $44.83 and Brent crude for November was up 10 cents at $47.57 a barrel in late-morning trade.Oil stockpiles held by Saudi Arabia, the world´s biggest crude exporter, climbed to a record, Bloomberg News reported.It said the country´s commercial petroleum stockpiles advanced to 320 million barrels, the highest since at least 2002, citing data on Sunday on the website of the Riyadh-based Joint Organisations Data Initiative.Fresh worries have also emerged about the health of the global economy and its impact on oil demand after the Fed, the US central bank, held off raising benchmark interest rates last week.Fed chief Janet Yellen said that bank policymakers cited the ongoing slowdown in China and recent turmoil on world markets as playing a role in the decision.""Indeed, the Fed´s hesitancy only appears to have reinforced investors´ worries about the global economy, rather than reassure them,"" Capital Economics said in a commentary. 










",2015-09-21,0.625,-0.375,0.4722222222222222,-0.07333333333333332
3516,lpg price slashed by rs10 per kg irfan khokhar,"ISLAMABAD: The price of Liquefied Petroleum Gas (LPG) has been slashed by Rs10 per kilogram, announced Chairman LPG Distributors Association Irfan Khokhar on Wednesday.The announcement was made following the meeting of a delegation of LPG Distributors Association with the Federal Minister for Petroleum, Shahid Khaqan Abbasi here.The Chairman LPG Distributors Association said it was decided at the meeting that the price of LPG remains fixed at Rs75 per kg throughout the year.He said after the reduction of Rs10 per kg, the price of a commercial LPG cylinder stands slashed by Rs400.Irfan Khokhar further said that the rate of domestic LPG cylinder has been cut down by Rs100.  










",2015-09-23,0.0,0.0,0.19814814814814816,-0.009259259259259264
3517,oil prices ease in asi,"Singapore: Oil prices fell in Asia Monday as investors looked for further clues about the health of the Chinese and US economies, the world´s top crude consumers.US benchmark West Texas Intermediate for November delivery eased 48 cents to $45.22 and Brent crude for November dipped 47 cents to $48.13.Markets were rocked last week by news that a key gauge of manufacturing activity in China fell to a six-and-a-half-year low in September, the latest sign of slowdown in growth for the world´s second-biggest economy.""For most commodities, a ´hard landing´ in China would be a far greater threat than a gradual tightening from the Fed,"" research firm Capital Economics said.It said that the manufacturing data is likely to improve over the remainder of the year.The US Federal Reserve held off raising interest rates during its September meeting, but on Thursday Fed chief Janet Yellen said she still expects a lift-off this year and that concerns about weaker global growth likely will not affect that plan.Focus this week ""is likely to remain on China and particularly the equity market, which has recently shown signs of stabilising, and on the US ahead of the employment report on Friday"", Capital Economics said in a market commentary.A rise in interest rates would likely boost the US currency, making dollar-priced oil more expensive for holders of weaker units, hurting demand.Prices are also under pressure owing to the prospect of Iranian oil returning to the oversupplied market following a landmark nuclear deal with major world powers reached in July.Under the agreement, the west will lift crippling economic sanctions if Iran curbs its nuclear ambitions, allowing the country to increase its oil exports. Tehran has denied western claims it is aiming to build an atomic bomb.Prices are expected to be volatile during the week, analysts said.""With no major economic data announcements during the week except for the US unemployment rate due next Friday, crude oil prices will continue to seesaw,"" said Sanjeev Gupta, who heads the Asia Pacific oil and gas practice at professional services firm EY. (AFP) 










",2015-09-28,0.0,0.0,0.5066176470588236,0.002144607843137252
3518,karachiites spent rs30 billion on eid sacrifi,"KARACHI: Karachiites spent around Rs30 billion in sacrificing animals on this years Eidul Azha, which speaks volumes about the success of the ongoing crackdown against criminal elements in the provincial capital. Last year the prices of sacrificial animals had dropped considerably but on the contrary the rates of the cattle went through the roof this time around. So much so that people who went to the market to buy the sacrificial animal on the third day of Eid in a hope to get some discount had to return empty handed.According to the sales figures from Super Highways cattle market till the third day of Eid, 340,000 cows/bulls were sold. The sale of goats touched 140,000 while 3500 camels were sold till the third day. 










",2015-09-28,0.1,-0.1,0.2303030303030303,0.030303030303030297
3519,ogra recommends reducing pol pri,"ISLAMABAD: The Oil and Gas Regulatory Authority confirmed on Tuesday that will send a summary to the Petroleum Ministry seeking a decrease in the price of petroleum products for October 2015.According to sources, OGRA has recommended a 10-paisa decrease in the price of petrol, and a Rs. 2.00/liter decrease in the price of diesel, HOBC and Kerosene.  










",2015-09-29,0.0,0.0,1.0,0.4
3520,nepra makes consumers pay billions mor,"ISLAMABAD: Nepra allowed increase in the losses of distribution companies (Discos) by up to 15.3 percent from 13.03 percent in 2004 in the power tariff, inflicting a loss of Rs2.1 billion per annum, reveals the governments official plan of managing the circular debt agreed to with the IMF, a copy of which is available with The News.Under the circular debt management plan, the government intends to reduce the circular debt from Rs314 billion (as of end of June 2015) to Rs212 billion by financial year ending June 30, 2018 while keeping within the target of 0.4 percent of GDP for subsidies to the power sector (about Rs128 billion) and 4 percent fiscal deficit. At the end of each month, the circular debt will be maintained below the cap of Rs314 billion. The circular debt management plan (or capping mechanism) will include reducing the increase of circular debt (flow) as well as the stock (outstanding amount). Policy induced public sector power entity debt including Power Holding Company Limited (PHCL) debt will be reduced from Rs335 billion to Rs220 billion by 2018. Collection from government customers will be rationalized, and subsidies will be on actual basis and paid according to schedule. Independent energy experts say the power sector requires just over Rs1 trillion to run itself and if one percent loss appears in the system, it accounts for Rs10 billion. This means the consumers are currently paying over Rs150 billion in the tariff just under the head of losses. However, Nepra, which is supposed to pressurize Discos to bring down losses, has accommodated the inefficient power sector by increasing the losses to 15.3 percent from 13.03 percent. Nepra spokesperson admitted that the regulator had increased the losses of Discos by up to 15.3 percent in the tariff from 13.03 percent insisting that it will add the additional burden of Rs2.1 billion, saying one percent loss means damage of just Rs1 billion that will be recovered from the consumers in the tariff. Nepra had earlier fixed the allowed losses for Discos for 2013-14 at 13.02 percent compared to 18.7 percent. The 5.6 percent difference between determined loss and actual loss accumulated as circular debt of Rs33.6 billion in financial year 2014. Now the regulator for financial year 2015 allowed 15.3 percent compared with expected losses of 18.70 percent, narrowing the gap between allowed and actual losses, but it will still result in accumulation of circular debt of Rs32 billion due to increase in generation. In the short term, there is little that can be done about the flow because the tariffs have been determined. Nepra as a condition of its determinations requires Discos to conduct a study on technical losses to justify the need for increase and to set out future loss reduction initiatives, to be conducted by independent consultants but the results are unlikely to show an effect until financial year 2016 determinations. For the purposes of this circular debt management plan, it is assumed that reductions in losses will reduce the flow of circular debt from Rs32 billion to Rs11 billion. The privatization programme, according to the document, is also likely to reduce excess line losses to the extent of the companies that will be privatized. With expected privatization of three Discos in FY 2016, multi-year tariff (MYT) will have been determined instead of annual tariff determinations and this will give incentives to the new owners to improve losses against the Nepra benchmarks; in any event, the costs of any underperformance will be the responsibility of the new owner. For the Discos not privatized, the surcharge mechanism will still be used to rationalize subsidies dealing with Sector Inefficiencies and recover costs of service.                        










",2015-09-29,0.0,0.0,0.2868751288394145,0.0011872552051123489
3521,deadline to file income tax extended till october 31,"ISLAMABAD: The deadline to file income tax returns has been extended till October 31. The original deadline to file tax returns was set to expire today (September 30). The decision was taken during the meeting of the Economic Coordination Committee (ECC) chaired by Finance Minister Ishaq Dar. The Federal Board of Revenue (FBR) spokesman informed the committee that 100,000 people had filed their income tax returns online.Speaking to the media after the meeting, Finance Minister Dar said after holding consultations with Prime Minister Nawaz Sharif the price of petroleum products would remain unchanged for October.   










",2015-09-30,0.0,0.0,0.475,0.2875
3522,pakistans forex reserves highest ever at 20bn ishaq dar,"ISLAMABAD: Minister for Finance, Ishaq Dar on Thursday said Pakistans foreign exchange reserves have risen to the highest level in the countrys history at $20.07 billion.At a press conference here, the Finance Minister said with this development the incumbent governments promise of taking the forex reserves to $20 billion stands fulfilled.Of the countrys total liquid reserves of $20.07 billion, $15.24 billion are held by the State Bank of Pakistan (SBP) while $4.83 billion are with the commercial banks.He said receipts under various heads have materialized, pushing the level of foreign exchange reserves to over $20 billion. These receipts include proceeds from Euro Bond, tranche from International Monetary Fund (IMF), Coalition Support Fund (CSF).Ishaq Dar said in February last year Pakistans foreign exchange reserves stood at $2.75 billion and at that time no one would have imagined that in a matter of such a small period of time these reserves would touch the present level.The Finance Minister greeted the nation over what he termed a landmark achievement. 










",2015-10-01,0.0,0.0,0.23560606060606057,-0.056818181818181816
3523,fbr runs rs63 bn short of tax collection targ,"ISLAMABAD: The FBR is facing revenue shortfall of Rs63 billion during first quarter (July-Sept) period of the current fiscal year as the tax collection stood at Rs584 billion against desired target of Rs647 billion. It seems that the FBR will be facing uphill task for achieving revenue collection target of Rs 3104 billion for the current fiscal year.The government argues that the revenue collection went up by 30 percent over the last two years as the collection touched Rs2590 billion during the last fiscal year.However, according to provisional revenue collection figures, FBR has provisionally collected Rs584 billion during first quarter of July-September (2015-16) against target of Rs647 billion, reflecting a shortfall of Rs 63 billion. The provisional revenue collection during first quarter of July-September (2015-16) stood at Rs 584 billion against Rs 541 billion in the corresponding period of 2014-15, reflecting a growth of 8 percent.The FBR has provisionally collected Rs 253 billion for September 2015 against Rs 228 last year, showing a growth of 11 percent.The breakup of tax-wise targets for first quarter of July-September (2015-16), target of direct taxes is Rs 245 billion, sales tax Rs 295 billion, FED Rs 38 billion and target for customs duty has been set at Rs 68 billion.                        










",2015-10-01,0.3,0.0,0.2733333333333333,0.11000000000000001
3524,pakistan korea ink 500 million framework agr,"ISLAMABAD: Pakistan and the Republic of Korea signed a framework agreement amounting to US$500 million in Islamabad on Friday which will enable Pakistan to complete various projects with Korean assistance. The projects include improvement of Power distribution systems, hydro-power, road infrastructure, information technology as well as the Health Sector.The Secretary Economic Affairs Division and the Ambassador of the Republic of Korea signed the Framework on behalf of their respective governments. On the occasion, Finance Minister Senator Ishaq Dar appreciated the role and cooperation extended by the Republic of Korea for development projects in Pakistan. He said the Framework Arrangement will enable Pakistan to seek financing from Korean Exim Bank for development of Energy and other Infrastructure Projects in Pakistan. The Ambassador of the Republic of Korea said that Korea would extend all possible cooperation for economic development of Pakistan. 










",2015-10-02,0.0,0.0,0.35937500000000006,0.071875
3525,uae says to invest 35bn in clean energy by 2021,"ABU DHABI: The gas-rich United Arab Emirates will invest $35 billion in clean energy by 2021 as it seeks to reduce its dependence on fossil fuels following crude´s global price slide, it said Sunday.""By 2021, our investments in nuclear and solar projects will reach $35 billion (31 billion euros),"" Energy Minister Suhail al-Mazrouei said at an energy conference in Abu Dhabi.He said that the UAE´s four nuclear reactors currently under construction will, once operational, ""provide 24-25 per cent of electricity consumption in the country"".An international consortium led by Korea Electric Power Corp won a contract in 2009 worth more than $20 billion to build the four 1,400-megawatt reactors at Baraka, west of Abu Dhabi.""Our aim is to increase the share of renewable energy to 30 per cent between now and 2020/2030, and to reduce that of natural gas to 70 per cent,"" Mazrouei said.Speaking on the sidelines of Sunday´s conference, he told AFP that ""this diversification also seeks to ensure price security and stability"" for consumers.He added, however, that as overall demand continues to grow, the UAE´s gas production would follow suit.Mazrouei said Abu Dhabi was determined to maintain investment in development projects in spite of the global fall in oil prices, which have slid by more than half since June 2014.""We are going to continue our development projects on schedule,"" he added.                        










",2015-10-04,0.7000000000000001,0.3666666666666667,0.2388888888888889,0.13333333333333333
