,Heading,Article,Date
1475,Dollar dips as effect of Fed rise wears off,"strong>Hong Kong: The dollar retreated against most of its major peers and emerging market currencies Wednesday, as analysts predict the Federal Reserve could hold off another hike in borrowing costs until April.</strongAs the effects of last week´s greenback rally -- fuelled by the US central bank´s first rate rise in almost a decade -- wear off, pressure has built on the unit as dealers decide to cash in at the end of the year.With a sense of optimism reappearing in regional markets -- and demand for higher-risk assets -- Asia tracked a rally on Wall Street for a second-successive day, boosting emerging currencies. And a lift in oil prices also supported commodity-based units.The dollar´s losses also come despite upbeat readings on US growth and consumer spending that indicate the Fed´s decision to begin lift-off was well justified.""There´s some paring of outstanding dollar long positions with investors reluctant to carry dollar exposure into the holidays,"" Ray Attrill, co-head of currency strategy at National Australia Bank in Sydney, told Bloomberg News.""If you want to be at least modestly constructive on the US dollar early next year, which we are at this stage, you´re probably going to need to see the market attaching a higher probability"" to the Fed raising rates in the first quarter, he said.In morning Asian trade the dollar bought 121.03 yen, down from 121.10 yen in New York Tuesday and well off the levels above 123 yen touched last week. The euro was at $1.0950 against $1.0954 but sharply up from the $1.0830 mark last week.Australia´s dollar rose 0.04 percent against the US unit, while the South Korean won was 0.2 percent higher and Taiwan´s dollar gained 0.1 percent. There were also increases for the New Zealand and Canadian dollars as well as the Thai baht.",2015-12-23
1476,Oil ends 2015 down 35 per,"strong>NEW YORK/LONDON: Oil prices rose on Thursday but fell as much as 35 percent for the year after a race to pump by Middle East crude producers and U.S. shale oil drillers created an unprecedented global glut that may take through 2016 to clear.</strongGlobal oil benchmark Brent and U.S. crude's West Texas Intermediate (WTI) futures rose between 1 and 2 percent on the day on short-covering and buying support in a thinly traded market ahead of the New Year holiday.But for 2015, both benchmarks fell double-digits for a second straight year as Saudi Arabia and other members of the once-powerful Organization of the Petroleum Exporting Countries (OPEC) again failed to boost oil prices.The U.S. shale industry, meanwhile, surprised the world again with its ability to survive rock-bottom crude prices, churning out more supply than expected, even as the sell-off in oil slashed by two-thirds the number of drilling rigs in the country from a year ago.The United States also took a historic move in repealing a 40-year ban on U.S. crude exports to countries outside Canada, acknowledging the industry's growth.""You do have to tip your hat to the U.S. shale industry and their ongoing ability to drive down costs and hang in there, albeit by their fingernails,"" said John Kilduff, a partner at Again Capital, an energy hedge fund in New York.Brent crude settled up 82 cents at $37.28 a barrel, rebounding from a near 11-year low of $36.10 hit earlier in the session. For the month, it was down 16 percent and for the year, it fell 35 percent. In 2014, Brent lost 48 percent.WTI rose 44 cents to $37.04 a barrel. It slid 11 percent in December and 30 percent for the year, after a 46 percent loss in 2014.The immediate outlook for oil prices remains bleak. Goldman Sachs has said prices as low as $20 per barrel might be necessary to push enough production out of business and allow a rebalancing of the market.Adding to oil's woes, floods across the Midwestern United States were threatening refineries and pipelines from Illinois to Louisiana, potentially swelling the glut of domestic crude at a time when stockpiles were already at record highs.A mild winter so far in the Northern Hemisphere due to the El Niño weather phenomenon has also slashed demand for heating oil. U.S. heating oil prices fell 40 percent for a second year in a row.""We have brimming oil inventories in Europe,"" Bjarne Schieldrop, chief commodity analyst at SEB in Oslo, said. ""And our predictions are that oil inventories in Asia are going to get closer to saturation in the first quarter.""Morgan Stanley said in its outlook for next year that ""headwinds (are) growing for 2016 oil.""The bank cited ongoing increases in available global supplies, despite some cuts by U.S. shale drillers. ""The hope for a rebalancing in 2016 continues to suffer serious setbacks,"" it said.strong>INDUSTRY PAIN</strongBrent prices briefly hit a 2004 bottom below $36 a barrel last week, effectively wiping out gains from a decade-long commodity super-cycle sparked by China's once-inexorable growth and energy demand boom.The downturn in oil has caused pain across the energy supply chain, including to shippers, private oil drillers and oil-dependent countries from Venezuela and Russia to the Middle East.Analysts estimate global crude production exceeds demand anywhere between half a million and 2 million barrels a day. This means even the most aggressive estimates of expected U.S. production cuts of 500,000 bpd for 2016 would be unlikely to fully rebalance the market.Oil began falling in mid-2014 as surging output from OPEC, Russia and U.S. shale producers outpaced demand. The downturn accelerated at the end of 2014 after a Saudi-led OPEC decision to keep production high to defend global market share rather than cut output to support prices.OPEC failed to agree on any production targets at its Dec. 4 meeting in Vienna, cementing its decision to protect market share, as the world braces for the return of Iranian crude exports to the market after the lifting of Western sanctions against Tehran.Russia is also showing no signs of reining in production, prompting traders, hedge fund managers and other speculators to establish record high active short positions in the market that would profit from further crude price falls.",2016-01-01
1477,Gold firm on safe haven demand as stocks face headwind,"strong>SINGAPORE: Gold edged higher on Monday, trading close to last session's nine-week high as pressure on Asian stock markets supported safe-haven bids for the metal.</strongAsian share markets swept lower after Wall Street suffered its worst starting week in history and doubts over Beijing's economic competence sent investors into the arms of the safe-haven yen and sovereign bonds.Spot gold rose 0.1 percent to $1,105 an ounce by 0330 GMT. U.S. gold gained 0.7 percent to $1,105.2.""We have some supportive factors in the market such as Saudi Arabia-Iran tensions, devaluation of yuan which have prompted safe have appeal of gold,"" said Ronald Leung, chief dealer at Lee Cheong Gold Dealers Ltd in Hong Kong.Gold climbed to its highest since early November on Friday, adding more than 4 percent to its value this year, on concerns over the Chinese economy and tumbling stock markets.Perceived missteps by China's authorities in controlling their share market and currency have led to concerns Beijing might lose its grip on economic policy too.China will face great difficulty in achieving economic growth above 6.5 percent over the 2016-2020 period due to slowing global demand and rising labour costs at home, the China Securities Journal quoted a top state adviser as saying.Investment appetite for bullion showed signs of picking up last week. Holdings of the world's largest gold-backed exchange-traded fund, New York-listed SPDR Gold Shares, rose 4.2 tonnes on Thursday, data from the fund showed.Bullion is often seen as an alternative investment during times of financial uncertainty, although safe-haven rallies tend to be short-lived.Gold slid 10 percent last year on fears higher U.S. rates would lower demand for the non-interest-paying asset, while boosting the dollar. A stronger greenback makes dollar-denominated gold costlier for holders of other currencies.Silver rose 0.4 percent at $13.986 an ounce, while platinum lost 0.5 percent at $870.25 an ounce. Palladium was down 1.2 percent to $488.25 an ounce.",2016-01-11
1478,Modi launches 15 bln fund to support start u,"NEW DELHI: Indian Prime Minister Narendra Modi launched a number of initiatives on Saturday to support the country´s start-ups, including a 100 billion rupee ($1.5 billion) fund and a string of tax breaks for both the companies and their investors.India, which already has a handful of new generation success stories, is seeking to encourage more cutting edge technology and other start-ups - supporting new businesses in a country which badly needs to accelerate a still sluggish economic recovery and create millions of jobs as the workforce expands.Modi´s high-profile event in New Delhi - attended by hundreds of investors and entrepreneurs, including the founder of taxi-hailing app Uber, Travis Kalanick - promised a shot in the arm for the sector, with exemptions from tax and compliance inspections for three years.""I urge all entrepreneurs to create companies that solve India´s problems and create jobs,"" he told a packed auditorium in New Delhi, speaking in Hindi.""Start-up does not mean a billion dollar company where thousands of people work. It is about employing even 5 people, and developing India.""Online companies such as e-commerce marketplaces Flipkart and Snapdeal, along with ride-sharing company Ola, have highlighted the potential for home-grown technology successes in a country best known for capitalising on cheap engineering talent as the world´s back office.However, the push by Modi´s government is the first time Indian policymakers have announced an agenda directly aimed at promoting start-ups and entrepreneurship.Modi unveiled plans for a new 100 billion rupee fund: a structured fund of funds that will invest in venture capital funds over a period of four years, financed by the government and the state-owned Life Insurance Corporation (LIC).He also said start-up companies would benefit from cheaper and faster patent applications, enjoying 80 percent rebates on the cost of patents.A mobile app would allow companies to be set up within a day, he promised.Moreover, they will be exempt from income tax for the first three years in which they make a profit.Their investors could also benefit: recognised funds of funds could see exemptions<br/>from capital gains tax, Modi said.The announcements, at a government-organised conference on start-ups in New Delhi, come months after Modi made a whirlwind tour of Silicon Valley, meeting the chief executives of Facebook Inc, Google Inc and Apple Inc.India, with a rapidly expanding population of Internet users, is seen as one of the world´s fastest growing start-up hotspots.Venture capital funds including Sequoia and Tiger Global have raised multi-billion dollar funds for their Indian investments in recent years.The National Association of Software and Services Companies estimates the number of new companies launched in India grew by 40 percent in the last year.Earlier on Saturday, Japan´s Softbank said it would ""seriously"" accelerate investments in India, comparing the growth in India´s internet economy to China a decade ago.Softbank had previously said it would invest $10 billion in India over 10 years.WeWork, a New York-based provider of shared office space, used the conference to announce its Indian launch plans.",2016-01-16
1479,Asia stocks get welcome respite as crude prices bou,"strong>TOKYO: Battered crude oil prices bounced back from their lows on Thursday, propelling solid gains in Asian shares and the dollar.</strongThursday's gains built on Wall Street's consolidation overnight in which major indexes finished with declines of more than 1 percent, but well off the 3 percent plus they plumbed in the previous session when U.S. crude had dropped to 2003 lows.New front-month U.S. March oil futures fell nearly 4 percent on the day to close at $28.35 a barrel, but they were up 1.2 percent in Asian trade at $28.70, a far cry from the expiring contract on U.S. crude for February delivery, which slid 6.7 percent to settle at $26.55.Brent crude rose 1.4 percent to $28.27 in Asian trade.MSCI's broadest index of Asia-Pacific shares outside Japan extended early gains and was up 1.4 percent while Japan's Nikkei average added 1.5 percent, clawing back some of the 3.7 percent it plunged in the previous session to a 14-1/2 month closing low.""Perhaps this stock market rebound comes from the usual suspects: Short-covering and bargain-hunting. However, today's results alone should not be seen as proof of an upward trend,"" said Hiroki Allen, chief representative of Superfund Securities Japan.China's bluechip CSI300 index was down 0.5 percent in early trade, and the Shanghai Composite Index slipped 0.8 percent.The dollar bounced back from a one-year low against its perceived safe-haven Japanese counterpart. The greenback added about 0.4 percent to 117.38 yen after falling as low as 115.97 on Wednesday, even as it marked impressive gains against some emerging market currencies.""It is not your ordinary day in the foreign exchange market when the Russian rouble and the Mexican peso hit record lows while the Hong Kong dollar falls to its weakest level since 1999,"" said Kathy Lien, managing director at BK Asset Management in New York.""Emerging market countries bear the brunt of the selling because the slowdown in global growth and volatility in commodities causes significant economic damage for these countries,"" she said in a note to clients.U.S. data out on Wednesday undermined the dollar overnight. U.S. consumer prices unexpectedly fell in December, suggesting inflation was more sluggish than the U.S. Federal Reserve believed.Other Wednesday data showed a drop in housing starts and building permits last month, which led investors to pare expectations of further interest rate hikes this year.The euro edged down about 0.2 percent to $1.0870, ahead of the European Central Bank's regular policy meeting later in the session. Expectations are for the ECB to hold interest rates steady but highlight increasing risks to growth and inflation while keeping the door open for further easing steps later this year.",2016-01-21
1480,Crude extends gains after surge on short covering cold ,"strong>SEOUL: Crude oil futures extended gains on Monday following a surge at the end of last week on short-covering and fuel demand triggered by freezing weather in parts of the northern hemisphere.</strongOil prices soared 10 percent on Friday, one of the biggest daily rallies ever, as bearish traders who had taken out record short positions scrambled to close them, betting the market's long rout may finally be over.Brent had gained 8 cents to $32.26 a barrel by 0221 GMT after touching $32.69 a barrel earlier in the day. It settled at $32.18 a barrel in the previous session.U.S. crude rose 5 cents to $32.24 a barrel, compared with its session-high of $32.64 and previous settlement at $32.19.""A change in investor sentiment was the key factor, with speculative short positions in WTI falling from historically high levels the previous week,"" ANZ said in a note on Monday, referring to U.S. West Texas Intermediate crude.""Low crude oil prices continue to negatively impact high cost U.S. oil producers. Indeed, recent Baker Hughes data suggested U.S. oil explorers idled more oil rigs this week.""Reuters market analyst for commodities and energy technicals Wang Tao said on Monday that Brent oil faces resistance at $32.72 per barrel, and may hover below this level for one day or retrace to support at $30.98, before rising again.A massive snowstorm on the U.S. East Coast helped stoke demand for oil for heating, helping push up crude prices. While New York and Philadelphia were getting back to business, Washington was not ready after an historic storm dumped more than 20 inches (51 cm) of snow on the city and nearly three feet (1 metre) in surrounding areas.Asian stocks gained early on Monday, relieved after seeing Wall Street rally on the back of a sharp rise in crude oil prices. The dollar was steady at 118.75 yen after surging 0.9 percent on Friday, when it touched a two-week peak of 118.88.",2016-01-25
1481,PIA reduces far,"strong>ISLAMABAD: The Pakistan International Airline (PIA) on Wednesday announced reduction in domestic and international fares.</strongPIA spokesman Danyal Gilani said that PIA has reduced Umrah fares by Rs4000. The PIA has also reduced Islamabad-Karachi fares to Rs7500 from Rs9,000.He went on to say that 10 percent reduction has also been made on international flights including London, Manchester, New York, Pairs, Oslo and Toronto routes.",2016-02-10
1482,Oil prices fall on US storage glut ongoing economic ,"strong>SINGAPORE: Oil prices slid on Thursday as record U.S. crude inventories at the Cushing delivery point and worries about a global economic slowdown weighed on markets, and Goldman Sachs said prices would remain low and volatile until the second half of the year.</strongInternational benchmark Brent crude futures LCOc1 were trading at $30.67 per barrel at 0601 GMT, down 17 cents.U.S. West Texas Intermediate (WTI) crude futures CLc1 were at $27.01 per barrel, down 44 cents and within a dollar of the $26.19 a barrel intra-day low hit in January that was the lowest since 2003.Inventories at the Cushing, Oklahoma delivery point for U.S. crude futures rose to an all-time high just shy of 65 million barrels, data from the government's Energy Information Administration (EIA) showed on Wednesday.The U.S.-based Schork Report said that seasonally falling crude oil demand towards the end of the winter heating season also weighed on markets.Analysts said that the recent strength in Brent's premium over WTI contracts was supported by U.S. slowing demand and brimming storage.""Brent is holding much stronger than WTI which reflects the current oversupply in the U.S.,"" said Singapore-based brokerage Phillip Futures.The overhang in oil supplies, together with an economic slowdown in China, means that prices will remain low until the second half of the year, Goldman Sachs said in a note to clients.""The risks of China growth concerns and oil price downside ... materialised faster than we anticipated,"" the bank said.""We expect oil prices will continue to fluctuate between $20 per barrel (operational stress level) and $40 per barrel (financial stress level) with significant volatility and no price trend until 2H2016,"" it added.Chart analysts said that crude prices may be just days away from falling to $25 a barrel or below as weakening technicals put more pressure on the market.Matthew Sferro, technical analyst at New York's Informa Global Markets, said if WTI fell further it would likely test the support level at $25.04 per barrel established in April 2003.Oil prices have fallen almost 75 percent since mid-2014 as producers pump 1-2 million barrels of crude every day in excess of demand, just as China's economy grows at its lowest rate in a generation.Trading activity in Asia remained low due to China's New Year holiday which lasts all week and as Japan is also on a public holiday.",2016-02-11
1483,Oil up 7 percent as Iran welcomes output freez,"strong>NEW YORK/LONDON: Oil prices rose 7 percent on Wednesday after Iran voiced support for a Russia-Saudi-led move to freeze production to deal with the market glut that had pressured crude prices to their lowest in a dozen years.</strongIranian Oil Minister Bijan Zanganeh met counterparts from Venezuela, Iraq and Qatar in Tehran for over two hours on Wednesday, saying the proposed production ""ceiling"" should be the first step toward stabilizing the market.Zanganeh, quoted by Tehran's Shana news agency, did not say explicitly say that Iran will keep its own output at January's levels, in line with the proposal that major producers including Russia and Saudi Arabia restrict output.An Iranian official, speaking before Wednesday's meeting, said Iran would continue increasing its oil output to levels held before the 2012 trade sanctions imposed on the fourth largest producer in the Organization of the Petroleum Exporting Countries.Tehran has been the main obstacle to the first joint OPEC and non-OPEC deal in 15 years, after its pledge to recapture market share lost to sanctions.Even so, Zanganeh's endorsement of the production freeze plan helped spark a powerful rally.Brent settled up $2.32, or 7.2 percent, at $34.50 a barrel.U.S. crude closed up $1.62, or 5.6 percent, at $30.66 a barrel.Prices extended gains in post-settlement trade after data from industry group the American Petroleum Institute showed a stockpile drop of 3.3 million barrels versus analysts' forecasts for a build of 3.9 million barrels. The U.S. government will release official stockpile data on Thursday.Options expiry in U.S. crude also fed Wednesday's rebound, some traders said.Some investors said they had a better outlook for oil now.""I'm pricing between $35 and $45 for Brent by summer, as we still have a daily surplus of up to 1.7 million barrels of oil to contend with,"" said Phil Davis, an independent crude trader at PSW Investments.Others were more skeptical. ""I think people will be in a wait-and-see mode,"" said Scott Shelton, energy broker for ICAP. ""Risk would be lower because of the volatility involved.""Traded volume in U.S. crude futures was just above 500 million barrels, lower than the past three sessions, Reuters data showed, despite the price gains and activity prior to options expiry.",2016-02-18
1484,Pakistans growth rate will be raised to 5 pc this year Iqb,"strong>WASHINGTON: Federal Minister for Planning, Ahsan Iqbal on Saturday said the next 10 years will prove to be Pakistans fastest economic progress and the country will stand among the 25 largest economies of the world by the year 2025.</strongAddressing a discussion at Center for Strategic and International Studies here, Ahsan Iqbal said Pakistan achieved the growth rate of 4 percent for the first time in the past 8 years.Pakistans growth rate will be increased to 5 percent in the current year and it will be further raised to 6 percent by 2018, he added.The Minister said that Pakistan is presently in talks with the US for producing 10,000 PhDs in the fields of science, technology and engineering. He said implementation of this plan will begin following the Pakistan-US strategic Dialogue set to be held on February 29. ",2016-02-27
1485,Gold extends losses on robust US data higher shar,"strong>SINGAPORE: Gold dipped for a second straight session on Wednesday, as global equities and the dollar rose following strong US manufacturing data that rekindled speculation of a Federal Reserve interest rate hike this year.</strongOther safe-haven assets also fell, with the Japanese yen nursing broad losses, having suffered a big reversal overnight as traders in London and New York took a brighter view on the global economy.Spot gold slipped 0.4 percent to $1,226.56 an ounce by 0247 GMT, after dropping 0.5 percent in the previous session.""The selling (in gold) will likely continue going into Wednesday's session, especially if we see another round of strong buying set in over global equity markets,"" said INTL FCStone analyst Edward Meir.""All this goes to show us that gold still remains very much in the orbit of US equities and we suspect that this will remain the case for some time to come,"" he said.The US S&amp;P 500 Index jumped to an eight-week high on Tuesday. MSCI's broadest index of Asia-Pacific shares outside Japan jumped to their highest since early January on Wednesday.Shares got a boost after data showed US manufacturing appeared to stabilize in February, with production accelerating and new orders holding steady at higher levels.The economic outlook was further bolstered by another report on construction spending that scaled a more than eight-year high in January.The US dollar rebounded against the yen and hit one-month highs against the euro on Tuesday, making commodities priced in the greenback expensive for holders of other currencies.Investors will be watching more US data to gauge the impact on stocks and the Fed's monetary policy, with the most important one being US non-farm payrolls on Friday.So far this year, gold has gained 16 percent as turmoil in equity markets and concerns over the global economy triggered speculation that the Fed will not raise US interest rates any further this year. The US central bank hiked rates for the first time in nearly a decade in December.For now, gold is also drawing support from flows into bullion-backed exchange traded funds (ETF). Assets in SPDR Gold Trust, the world's top gold ETF, rose 1.15 percent to 786.20 tonnes on Tuesday, the highest since September 2014.In physical markets, India's gold imports in January surged 62 percent compared with the same period last year, news agency NewsRise Financial reported on Tuesday, citing a government official.",2016-03-02
1486,Gold extends losses on robust US data higher shar,"strong>SINGAPORE: Gold dipped for a second straight session on Wednesday, as global equities and the dollar rose following strong US manufacturing data that rekindled speculation of a Federal Reserve interest rate hike this year.</strongOther safe-haven assets also fell, with the Japanese yen nursing broad losses, having suffered a big reversal overnight as traders in London and New York took a brighter view on the global economy.Spot gold slipped 0.4 percent to $1,226.56 an ounce by 0247 GMT, after dropping 0.5 percent in the previous session.""The selling (in gold) will likely continue going into Wednesday's session, especially if we see another round of strong buying set in over global equity markets,"" said INTL FCStone analyst Edward Meir.""All this goes to show us that gold still remains very much in the orbit of US equities and we suspect that this will remain the case for some time to come,"" he said.The US S&amp;P 500 Index jumped to an eight-week high on Tuesday. MSCI's broadest index of Asia-Pacific shares outside Japan jumped to their highest since early January on Wednesday.Shares got a boost after data showed US manufacturing appeared to stabilize in February, with production accelerating and new orders holding steady at higher levels.The economic outlook was further bolstered by another report on construction spending that scaled a more than eight-year high in January.The US dollar rebounded against the yen and hit one-month highs against the euro on Tuesday, making commodities priced in the greenback expensive for holders of other currencies.Investors will be watching more US data to gauge the impact on stocks and the Fed's monetary policy, with the most important one being US non-farm payrolls on Friday.So far this year, gold has gained 16 percent as turmoil in equity markets and concerns over the global economy triggered speculation that the Fed will not raise US interest rates any further this year. The US central bank hiked rates for the first time in nearly a decade in December.For now, gold is also drawing support from flows into bullion-backed exchange traded funds (ETF). Assets in SPDR Gold Trust, the world's top gold ETF, rose 1.15 percent to 786.20 tonnes on Tuesday, the highest since September 2014.In physical markets, India's gold imports in January surged 62 percent compared with the same period last year, news agency NewsRise Financial reported on Tuesday, citing a government official.",2016-03-02
1487,Bangladeshs bank governor resigns after 81 mn stolen in cyber hei,"strong>DHAKA: Bangladesh's central bank governor Atiur Rahman resigned on Tuesday following demands of accountability from the government after $81 million was stolen from the bank's U.S. account in one of the largest cyber heists ever.</strongRahman, who returned to Dhaka late on Monday after attending a weekend International Monetary Fund conference in New Delhi, told Reuters that Prime Minister Sheikh Hasina had accepted his resignation.The government also fired two deputy governors of the bank, Finance Minister Abul Maal Abdul Muhith said, days after blaming it for keeping the government in the dark about the theft.Rahman, 65, said he resigned to set an example in a country where there is not much precedence of accountability and to uphold the image of the central bank""I took responsibility,"" Rahman said.A former finance secretary, Fazle Kabir, would be the new governor, the finance minister said.Unknown hackers breached the computer systems of Bangladesh Bank and attempted to steal $951 million from its account at the Federal Reserve Bank of New York, which it uses for international settlements, between Feb. 4 and Feb. 5.They managed to transfer $81 million to entities in the Philippines, and the money was further diverted to casinos there.More than $30 million of the money that was stolen was handed over in cash to an ethnic Chinese man in Manila, a Philippines senator looking into the suspected laundering scheme said.Bangladesh Bank officials have said there is little hope of apprehending the perpetrators and recovering the money would be difficult and could take months.Rahman's exit could be a blow to Bangladesh, a South Asian nation of 160 million. The country has been aspiring to reach middle-income status, and Rahman was seen as one of the driving forces helping Dhaka towards that goal.A former development economics professor, Rahman took over as the central bank governor in May 2009, and was nearing the end of his second term. One of his signature achievements has been shoring up the country's foreign exchange reserves, which have increased four-fold to $28 billion under his watch.He also tried to ensure farmers and women entrepreneurs had better access to banking services and credit.""He has set a good example by taking the responsibility for this incident,"" said Wahid Uddin Mahmud, a professor of economics at Dhaka University.   ",2016-03-15
1488,Oil steadies as US rig count drop offsets stockpile worry,"strong>NEW YORK: Oil prices steadied on Thursday, paring losses after a renewed drop in US oil rigs, but analysts and traders said there could be another selloff in the coming week if US crude stockpiles hit record highs again.</strongEarlier in the day, US crude futures slid 4 percent and Brent below $40 a barrel, extending bearish sentiment from Wednesday when the US government reported a crude inventory build three times above market expectations.But data later on Thursday from oil services firm Baker Hughes, showing US oil drillers cutting 15 rigs this week after a pause last week, boosted sentiment. The US oil rig count now stands at 372, the lowest since November 2009.US crude's front-month contract CLc1 settled down 33 cents at $39.46 a barrel, recovering from a session low of $38.33. For the week, it rose two cents, finishing up for a sixth straight week.Brent's front-month LCOc1 settled down 3 cents on the day at $40.44 a barrel, after an earlier drop to $39.22. For the week, it fell 76 cents, or nearly 2 percent, its first decline in six weeks.Despite the stumble, oil prices remain about 50 percent higher from multi-year lows hit in January from glut worries. While declining US oil output and strong gasoline demand were responsible for some of that recovery, the bulk of it was powered by major producers' plans to freeze output at January's highs.While this week's drop of oil 15 rigs was not a game changer to the market, it offered a reprieve to worries that there was a daily glut of some two million barrels in crude.""After last week's increase of one rig, some may have assumed that the continuing decrease in rig counts was finally abating,"" said Pete Donovan, broker at Liquidity Futures in New York. ""Apparently not so.""Others braced for further price weakness from more US inventory builds.""We see limited bullish assistance to the complex from a fundamental vantage point,"" said Jim Ritterbusch of Chicago-based oil consultancy Ritterbusch &amp; Associates.Shares on Wall Street, trading in tandem with crude most of this year, also clawed back from the lows of the day, helping oil recover.The dollar meanwhile, erased early gains that made oil and other commodities denominated in the greenback less affordable to holders of the euro and other currencies.Volumes in oil were thin ahead of the Good Friday and Easter break, making it easier to retrace losses after sentiment swung.",2016-03-25
1489,Oil posts best quarter since mid 2015 but glut still worri,"strong>NEW YORK: Oil prices jumped more than 10 percent in March in the best quarter since mid-2015 although some analysts said the rally could fade soon as an output freeze plan by major crude exporters fails to alleviate worries of a glut.</strongA weak dollar and data showing a drawdown in crude stocks at the US futures delivery hub helped oil settle steady to firmer in Thursday's session.But traders remained worried that a tentative agreement among the world's largest producers to keep oil output at January's levels will barely make a dent on global supplies.Analysts said crude futures also appear to have overextended gains with a 50 percent rally since the deal was proposed mid-February, amid little improvement in fundamentals.""Oversupply still persists due to resilient US production, even if declining moderately; high OPEC output, led by Saudi Arabia and Iraq; and the gradual return of Iran starting Q1 2016,"" said Mike Wittner, global head of oil research at Societe Generale.Brent crude for May delivery, which expired as the front-month contract, settled up 34 cents, or 0.8 percent, at $39.60 a barrel. June Brent closed 0.7 percent higher at $40.33.The benchmark's front-month soared 10 percent higher in March - its best month since April 2015 - and jumped 6 percent in the first quarter - its best quarter since the second quarter in 2015.U.S. crude futures settled at $38.34, up 2 cents on the day, rising 14 percent in March and 4 percent in the quarter - also its biggest quarterly gain since June 2015.In a Reuters poll, oil analysts raised their average price forecasts for 2016 for the first time in 10 months - Brent averaging $40.90 and U.S. crude $39.70 in 2016 - but cautioned the rally could fade near term.On Thursday, the dollar hit a mid-October low, making greenback-denominated oil more attractive to holders of the euro and other currencies.Data from market intelligence firm Genscape showed a 807,496-barrel drawdown in stocks at the Cushing, Oklahoma delivery hub for U.S. crude futures in the week to March 29, traders said.Inventories at Cushing have receded from record highs for two consecutive weeks, with U.S. government data on Wednesday showing a 272,000-barrel drawdown in the week ending March 25.Total U.S. crude stocks, however, rose 2.3 million barrels last week to 534.8 million barrels, a record high for a seventh straight week.OPEC crude output rose in March to 32.47 million barrels per day from 32.37 million bpd in February, a Reuters survey said.Analysts also expect an April 17 meeting of major oil producers in Doha to discuss the output freeze to fall short of expectations.""There is a clear risk of disappointment and for a temporary setback in prices ahead or immediately after the Doha meeting,"" Carsten Fritsch, commodities analyst at Commerzbank, told the Reuters Global Oil Forum.",2016-04-01
1490,Global stocks gain on oil boost dollar fades vs y,"strong>NEW YORK: Global equity markets advanced on Friday, buoyed by a jump in oil prices, but were lower for the week as the dollar gave up early gains against the yen.</strongStocks on Wall Street and in Europe were lifted by energy names, with Brent and US crude oil jumping more than 6 percent as drawdowns in US crude stocks fed hopes a punishing global glut that has persisted for nearly two years may be nearing a tipping point.Global benchmark Brent crude futures LCOc1 jumped 6.4 percent to settle at $41.94 per barrel, scoring their biggest weekly gain in five. U.S. crude futures CLc1 closed up $2.46, or 6.6 percent, to $39.72, up nearly 8 percent for the week.The Europe Oil and Gas index was up more than 3 percent while the S&amp;P energy index climbed 2 percent as the top-performing sectors in each region, tracking the rise in crude prices.""Clearly if you are looking at it from an index perspective, the stronger commodities are having a bit of a positive effect,"" said Nick Kalivas, senior equity strategist at Invesco PowerShares in Chicago.""The market still remains very focussed on energy as kind of an indicator of economic health and credit risk that I dont think has faded yet.""The Dow Jones industrial average rose 35 points, or 0.2 percent, to 17,576.96, the S&amp;P 500 gained 5.68 points, or 0.28 percent, to 2,047.59 and the Nasdaq Composite added 2.32 points, or 0.05 percent, to 4,850.69.Even with Friday's modest gains, the S&amp;P 500 suffered its biggest weekly decline in two months.MSCI's index of world shares rose 0.68 percent but was down 0.55 percent for the week. The FTSEurofirst 300 closed up 1.2 percent, but still notched a fourth straight weekly decline, its longest losing streak since October 2014.Much of the volatility this week has been fuelled by the yen's surge against the dollar, which caught many market participants off-guard and increased speculation Tokyo could intervene in the currency market to halt the rally.The dollar briefly traded above 109.00 yen, recovering from its first break below 108.00 since October 2014 on Thursday. Japanese Finance Minister Taro Aso said the government would take steps to counter ""one-sided"" moves in the yen in either direction.However, those gains faded late in the session and the dollar was last off 0.04 percent at 108.16 yen, for a weekly fall of 3.1 percent.Sharp appreciation of the safe-haven yen against the dollar is often a warning sign of broader financial market stress and investor risk aversion, which has been exacerbated this week by growing uncertainty surrounding the U.S. economic and policy outlook.Federal Reserve Chair Janet Yellen, in a conversation with former Fed chairmen on Thursday, said the U.S. economy is on a solid course and still on track to warrant further interest rate hikes.New York Fed President William Dudley on Friday said the central bank must approach further rate hikes cautiously and gradually because of lingering external risks to the U.S. economy, despite some strength at home and welcome hints of inflation.The comments helped push benchmark 10-year Treasuries down 9/32 in price to yield 1.784 percent after they hit a low six-week of 1.685 percent on Thursday.",2016-04-09
